,run,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,left_right,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr,rew_probs,block_order,sub,resp,semantic_resp,choice_rt,semantic_rt,choice,choice_bin,resp_bin,decision_dur,run_mode,root_times,choice_times,feedback_times,rew,isi_root,isi_choice,iti,bank,choice_incl_late_responses,choice_bin_incl_late_responses,resp_bin_incl_late_responses,choice_rt_incl_late_responses
0,1,205_1.jpg,205_2.jpg,205_3.jpg,0.160954225,0.275713175,0.195530282,0.09104611900000001,0.004003993,0.011681182,raisin,hook1,column,fruit,animal,Unclassified,-0.087042126,0.11475894999999996,im2,im1,right,205_3.jpg,205_2.jpg,left,right,0.775,V2,f01,2,2,0.35686057099997015,0.7175720519999231,Image1,0.0,0.0,0.75,behavior,1.0164379110001391,6.033090657999992,10.80008792700005,0.0,3,4,3,11,Image1,0.0,0.0,0.35686057099997015
1,1,212_1.jpg,212_2.jpg,212_3.jpg,-0.127049778,0.11556331,-0.022677522999999998,0.08536064800000001,0.041025703,0.054581775,cilantro,bison,barrette,food,animal,Unclassified,-0.044334945,0.242613088,im2,im1,left,212_2.jpg,212_3.jpg,right,left,0.775,V2,f01,1,1,0.5088432219999959,0.5896380799999861,Image1,0.0,1.0,0.75,behavior,14.816421611000123,19.833077212000035,23.599807476000024,1.0,3,3,2,11,Image1,0.0,1.0,0.5088432219999959
2,1,129_1.jpg,129_2.jpg,129_3.jpg,0.224090567,0.594228765,0.45593202299999996,0.021974886000000003,0.180020714,0.071851548,lip_balm,curtain,juicer1,Unclassified,Unclassified,animal,0.158045828,0.370138198,im2,im2,left,129_2.jpg,129_3.jpg,right,right,0.775,V2,f01,2,2,0.3966907879998871,0.6134636720000799,Image2,1.0,0.0,0.75,behavior,26.61640912000007,31.63342204000014,35.39979839300008,1.0,3,3,6,11,Image2,1.0,0.0,0.3966907879998871
3,1,255_1.jpg,255_2.jpg,255_3.jpg,-0.235482936,0.496816449,-0.43509832600000004,0.122012405,0.031147646,0.067589069,coin,warthog,drink,Unclassified,animal,Unclassified,-0.090864759,0.732299385,im2,im1,left,255_2.jpg,255_3.jpg,right,left,0.775,V2,f01,1,2,0.5648633519999748,0.5891904659999909,Image1,0.0,1.0,0.75,behavior,42.41676544200004,48.43313058300009,54.200042580999934,0.0,4,5,3,11,Image1,0.0,1.0,0.5648633519999748
4,1,226_1.jpg,226_2.jpg,226_3.jpg,-0.059356017000000004,0.298237885,0.020090131,0.035142254,0.142967772,0.020205203,snowman,grille,sequin,Unclassified,Unclassified,Unclassified,0.10782551800000001,0.357593902,im2,im2,right,226_3.jpg,226_2.jpg,left,left,0.775,V2,f01,1,2,0.42054518999998436,0.5335833240001193,Image2,1.0,1.0,0.75,behavior,58.216485550000016,67.23342445200001,72.99973256499993,1.0,7,5,5,11,Image2,1.0,1.0,0.42054518999998436
5,1,223_1.jpg,223_2.jpg,223_3.jpg,0.129494774,0.503147561,-0.09924775699999999,0.041102513,0.109920176,0.037631563,bow2,parrot,nail_file,animal,animal,tool,0.068817663,0.373652787,im2,im2,right,223_3.jpg,223_2.jpg,left,left,0.775,V2,f01,1,2,0.4769579539999995,0.6211881420001646,Image2,1.0,1.0,0.75,behavior,79.01668072899997,85.03308433899997,90.80003719199999,1.0,4,5,4,11,Image2,1.0,1.0,0.4769579539999995
6,1,47_1.jpg,47_2.jpg,47_3.jpg,-0.16054444699999998,0.43909011700000006,-0.34107044,0.004408888,0.12343745,0.039870092999999995,test_tube,zebra,razor_blade,Unclassified,animal,tool,0.11902856199999999,0.599634564,im2,im2,left,47_2.jpg,47_3.jpg,right,right,0.775,V2,f01,2,2,0.6046727959999316,0.6215679610002098,Image2,1.0,0.0,0.75,behavior,95.81641382399994,101.83337822800013,108.59975878499995,1.0,4,6,6,11,Image2,1.0,0.0,0.6046727959999316
7,1,175_1.jpg,175_2.jpg,175_3.jpg,-0.29084191,0.692946153,-0.304225546,0.12022044,0.028742756,-0.0034560579999999997,pennant,snow,tuning_fork,Unclassified,Unclassified,Unclassified,-0.091477684,0.983788063,im2,im1,left,175_2.jpg,175_3.jpg,right,left,0.775,V2,f01,1,2,0.49286334099997475,0.517171228000052,Image1,0.0,1.0,0.75,behavior,115.61676181999997,123.63312876000009,130.40004436999993,1.0,6,6,2,11,Image1,0.0,1.0,0.49286334099997475
8,1,97_1.jpg,97_2.jpg,97_3.jpg,-0.33842482,0.8765454690000001,-0.398770887,0.041159277,0.17431176899999998,0.017222645,monkey,headlight,monkey,animal,Unclassified,animal,0.13315249199999998,1.214970289,im2,im2,left,97_2.jpg,97_3.jpg,right,right,0.775,V2,f01,2,2,0.6609247450001021,0.5016410730002008,Image2,1.0,0.0,0.75,behavior,133.41641198699995,137.433092257,141.20008511200012,0.0,2,3,5,11,Image2,1.0,0.0,0.6609247450001021
9,1,163_1.jpg,163_2.jpg,163_3.jpg,-0.120044679,0.72490469,-0.2525907,0.042292339000000005,0.115094752,0.017535103,camera1,tumbleweed,camcorder,animal,plant,Unclassified,0.072802413,0.8449493690000001,im2,im2,left,163_2.jpg,163_3.jpg,right,right,0.775,V2,f01,1,2,0.6046189359999516,0.5575239149998197,Image1,0.0,1.0,0.75,behavior,147.21646599400015,154.2334215610001,157.99975517200005,0.0,5,3,4,11,Image1,0.0,1.0,0.6046189359999516
