condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,42.5,2.0,1
root,58.25,2.0,1
root,77.0,2.0,1
root,96.75,2.0,1
root,110.5,2.0,1
root,133.25,2.0,1
root,157.0,2.0,1
root,168.75,2.0,1
root,183.5,2.0,1
root,206.25,2.0,1
root,219.0,2.0,1
root,237.75,2.0,1
root,255.5,2.0,1
root,275.25,2.0,1
root,292.0,2.0,1
root,307.75,2.0,1
root,321.5,2.0,1
root,339.25,2.0,1
root,358.0,2.0,1
root,377.75,2.0,1
root,396.5,2.0,1
root,406.25,2.0,1
root,428.0,2.0,1
root,446.75,2.0,1
root,463.5,2.0,1
root,480.25,2.0,1
root,496.0,2.0,1
root,509.75,2.0,1
choice,17.0,0.75,1
choice,29.75,0.75,1
choice,48.5,0.75,1
choice,67.25,0.75,1
choice,85.0,0.75,1
choice,104.75,0.75,1
choice,120.5,0.75,1
choice,140.25,0.75,1
choice,163.0,0.75,1
choice,172.75,0.75,1
choice,189.5,0.75,1
choice,211.25,0.75,1
choice,225.0,0.75,1
choice,242.75,0.75,1
choice,259.5,0.75,1
choice,281.25,0.75,1
choice,298.0,0.75,1
choice,313.75,0.75,1
choice,326.5,0.75,1
choice,347.25,0.75,1
choice,365.0,0.75,1
choice,383.75,0.75,1
choice,400.5,0.75,1
choice,415.25,0.75,1
choice,437.0,0.75,1
choice,453.75,0.75,1
choice,472.5,0.75,1
choice,487.25,0.75,1
choice,503.0,0.75,1
choice,516.75,0.75,1
feedback,19.75,1.0,1
feedback,35.5,1.0,1
feedback,54.25,1.0,1
feedback,70.0,1.0,1
feedback,93.75,1.0,1
feedback,107.5,1.0,1
feedback,124.25,1.0,1
feedback,146.0,1.0,1
feedback,165.75,1.0,1
feedback,177.5,1.0,1
feedback,202.25,1.0,1
feedback,216.0,1.0,1
feedback,229.75,1.0,1
feedback,248.5,1.0,1
feedback,267.25,1.0,1
feedback,285.0,1.0,1
feedback,301.75,1.0,1
feedback,316.5,1.0,1
feedback,336.25,1.0,1
feedback,352.0,1.0,1
feedback,371.75,1.0,1
feedback,392.5,1.0,1
feedback,403.25,1.0,1
feedback,420.0,1.0,1
feedback,442.75,1.0,1
feedback,458.5,1.0,1
feedback,477.25,1.0,1
feedback,492.0,1.0,1
feedback,506.75,1.0,1
feedback,524.5,1.0,1
