condition,onset,duration,value
root,12.0,2.0,1
root,24.75,2.0,1
root,41.5,2.0,1
root,61.25,2.0,1
root,77.0,2.0,1
root,90.75,2.0,1
root,108.5,2.0,1
root,126.25,2.0,1
root,142.0,2.0,1
root,162.75,2.0,1
root,180.5,2.0,1
root,195.25,2.0,1
root,214.0,2.0,1
root,230.75,2.0,1
root,250.5,2.0,1
root,268.25,2.0,1
root,283.0,2.0,1
root,301.75,2.0,1
root,319.5,2.0,1
root,341.25,2.0,1
root,354.0,2.0,1
root,374.75,2.0,1
root,395.5,2.0,1
root,408.25,2.0,1
root,426.0,2.0,1
choice,17.0,0.75,1
choice,32.75,0.75,1
choice,47.5,0.75,1
choice,66.25,0.75,1
choice,81.0,0.75,1
choice,96.75,0.75,1
choice,115.5,0.75,1
choice,131.25,0.75,1
choice,150.0,0.75,1
choice,168.75,0.75,1
choice,186.5,0.75,1
choice,203.25,0.75,1
choice,222.0,0.75,1
choice,238.75,0.75,1
choice,256.5,0.75,1
choice,272.25,0.75,1
choice,290.0,0.75,1
choice,307.75,0.75,1
choice,328.5,0.75,1
choice,347.25,0.75,1
choice,363.0,0.75,1
choice,381.75,0.75,1
choice,400.5,0.75,1
choice,416.25,0.75,1
choice,432.0,0.75,1
feedback,20.75,1.0,1
feedback,37.5,1.0,1
feedback,55.25,1.0,1
feedback,74.0,1.0,1
feedback,86.75,1.0,1
feedback,102.5,1.0,1
feedback,121.25,1.0,1
feedback,135.0,1.0,1
feedback,156.75,1.0,1
feedback,174.5,1.0,1
feedback,189.25,1.0,1
feedback,209.0,1.0,1
feedback,227.75,1.0,1
feedback,245.5,1.0,1
feedback,263.25,1.0,1
feedback,276.0,1.0,1
feedback,294.75,1.0,1
feedback,312.5,1.0,1
feedback,335.25,1.0,1
feedback,351.0,1.0,1
feedback,368.75,1.0,1
feedback,385.5,1.0,1
feedback,404.25,1.0,1
feedback,422.0,1.0,1
feedback,435.75,1.0,1
